epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,5140.71,0.1804,0.11614,0.15896,0.91202,0.97843,0.83138,0.90874,0.83278,0.97868,0.83031,0.9301,0.85969,0.51578,0.4866,0.77922,0.82015,0.00975525,0.00975525,0.00975525
51,5243.01,0.17665,0.1079,0.16062,0.91841,0.92693,0.90075,0.94046,0.85244,0.92536,0.90075,0.94876,0.88963,0.43274,0.45519,0.53181,0.91107,0.00975025,0.00975025,0.00975025
52,5345.81,0.1792,0.1099,0.16174,0.91732,0.93406,0.67876,0.80114,0.67275,0.94843,0.69264,0.82702,0.70192,0.87511,0.94342,1.32549,1.07887,0.00974526,0.00974526,0.00974526
53,5448.41,0.17599,0.11458,0.15762,0.92529,0.93616,0.65731,0.84382,0.7224,0.94628,0.65801,0.86648,0.75747,0.68951,0.54384,1.23029,1.01258,0.00974026,0.00974026,0.00974026
54,5550.87,0.17673,0.12063,0.16902,0.9135,0.94063,0.91306,0.94632,0.83778,0.94536,0.92319,0.9576,0.87848,0.5258,0.48446,0.85363,0.98527,0.00973527,0.00973527,0.00973527
55,5653.06,0.18484,0.10488,0.16974,0.91789,0.90438,0.86804,0.92313,0.77389,0.91609,0.86226,0.93229,0.82248,0.71529,0.46502,0.84498,1.06855,0.00973027,0.00973027,0.00973027
56,5755.51,0.1803,0.11301,0.17145,0.92047,0.89181,0.7524,0.86891,0.76672,0.85201,0.80489,0.90698,0.79441,0.67412,0.5771,1.04651,0.99291,0.00972528,0.00972528,0.00972528
57,5858.47,0.17953,0.10313,0.16374,0.91937,0.87116,0.82711,0.9042,0.79773,0.88796,0.8374,0.9217,0.83789,0.52478,0.48115,0.8287,0.93795,0.00972028,0.00972028,0.00972028
58,5960.65,0.17924,0.11809,0.16216,0.91995,0.87639,0.78762,0.88238,0.74136,0.87878,0.84333,0.91952,0.78512,0.8795,0.56929,0.68943,1.06639,0.00971529,0.00971529,0.00971529
59,6063.21,0.17262,0.10941,0.17997,0.91287,0.90001,0.88581,0.94023,0.8357,0.90187,0.922,0.95682,0.86864,0.5578,0.60523,0.6662,0.96055,0.00971029,0.00971029,0.00971029
60,6165.52,0.17348,0.10855,0.16383,0.91548,0.95956,0.91249,0.95089,0.80684,0.95544,0.91035,0.95576,0.84597,0.56867,0.52525,0.5944,0.97964,0.0097053,0.0097053,0.0097053
61,6267.97,0.17301,0.10897,0.15466,0.91983,0.90099,0.87408,0.92297,0.76764,0.91294,0.89529,0.94565,0.81951,0.67738,0.4826,1.70538,1.04295,0.0097003,0.0097003,0.0097003
62,6370.44,0.16979,0.10279,0.1538,0.91086,0.93879,0.89007,0.94438,0.82284,0.95489,0.90372,0.9602,0.85903,0.61707,0.52089,0.68459,1.06992,0.00969531,0.00969531,0.00969531
63,6473.13,0.17507,0.10851,0.1619,0.91757,0.83406,0.84525,0.90181,0.70889,0.84629,0.85059,0.92018,0.75837,0.75396,0.60158,1.1567,1.15546,0.00969031,0.00969031,0.00969031
64,6575.88,0.17071,0.1003,0.15327,0.91772,0.97311,0.92677,0.95739,0.8589,0.97314,0.92788,0.95969,0.86134,0.49161,0.64767,0.98539,1.06967,0.00968531,0.00968531,0.00968531
65,6678.38,0.169,0.10236,0.26497,0.91493,0.96234,0.87272,0.94825,0.84175,0.96038,0.8794,0.9582,0.86086,0.6393,0.59347,0.96726,1.01877,0.00968032,0.00968032,0.00968032
66,6781.07,0.17094,0.10249,0.15542,0.91331,0.78556,0.75065,0.82884,0.66194,0.80133,0.78015,0.85659,0.70572,0.69535,0.47458,1.50142,1.13587,0.00967533,0.00967533,0.00967533
67,6883.53,0.17734,0.10837,0.1631,0.91466,0.94013,0.89007,0.94772,0.85772,0.92857,0.91035,0.96184,0.88384,0.48221,0.50666,0.67714,0.89639,0.00967033,0.00967033,0.00967033
68,6985.95,0.174,0.10167,0.15379,0.91056,0.97759,0.88464,0.95146,0.84715,0.96389,0.88312,0.95474,0.85119,0.55501,0.90592,0.836,0.94918,0.00966534,0.00966534,0.00966534
69,7088.43,0.17285,0.10328,0.15543,0.91446,0.78214,0.76841,0.82253,0.68643,0.79844,0.78442,0.85133,0.70238,0.53213,0.80862,1.52756,1.08441,0.00966034,0.00966034,0.00966034
70,7191.38,0.17585,0.10763,0.17664,0.91166,0.90776,0.85079,0.93156,0.80708,0.91336,0.85912,0.93984,0.84303,0.56378,0.51336,1.40325,1.08349,0.00965535,0.00965535,0.00965535
71,7294.26,0.17389,0.10495,0.16843,0.91271,0.82405,0.77161,0.87532,0.76864,0.85486,0.79723,0.90678,0.80496,0.65917,0.57538,0.89699,1.09385,0.00965035,0.00965035,0.00965035
72,7396.76,0.17136,0.10508,0.16327,0.92045,0.9449,0.92209,0.95189,0.83579,0.94141,0.92423,0.95596,0.8624,0.49259,0.50917,1.661,0.97404,0.00964535,0.00964535,0.00964535
73,7499.09,0.17178,0.10662,0.15432,0.91237,0.92448,0.88845,0.93815,0.84316,0.93024,0.88581,0.93921,0.86658,0.53067,0.51016,0.80967,1.00069,0.00964036,0.00964036,0.00964036
74,7601.58,0.17141,0.09704,0.15631,0.91653,0.91116,0.87571,0.93406,0.80219,0.92762,0.89968,0.94499,0.83935,0.658,0.41042,0.82253,1.01864,0.00963536,0.00963536,0.00963536
75,7704.37,0.16569,0.10171,0.1462,0.91215,0.94208,0.89114,0.95157,0.85314,0.94213,0.91249,0.9588,0.88736,0.54876,0.45457,0.73654,0.96643,0.00963037,0.00963037,0.00963037
